What is a *forgiving selector list*?,"A way to remedy the [invalid selector list](https://developer.mozilla.org/en-US/docs/Web/CSS/Selector_list#invalid_selector_list) problem is to use the [`:is()`](https://developer.mozilla.org/en-US/docs/Web/CSS/:is) or the [`:where()`](https://developer.mozilla.org/en-US/docs/Web/CSS/:where) pseudo-class, which accept a forgiving selector list. Each selector in a forgiving selector list is parsed individually. So any invalid selectors in the list are ignored and the valid ones are used.

The following two CSS rule sets are equivalent:

```
h1 {
  font-family: sans-serif;
}
h2:maybe-unsupported {
  font-family: sans-serif;
}
h3 {
  font-family: sans-serif;
}
```

and 

```
:is(h1, h2:maybe-unsupported, h3) {
  font-family: sans-serif;
}
```

The difference between the two is that the specificity of `:is()` is its most specific argument, whereas the `:where()` selector and the forgiving selector list parameter do not add any specificity weight.

## Footnote

[""Forgiving selector list"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Selector_list#forgiving_selector_list) Retrieved February 14, 2024."
*Subsequent-sibling combinator*  (`~`),"The *subsequent-sibling combinator* (`~`, a tilde) separates two selectors and **matches all instances of the second element** that follow the first element (not necessarily immediately) and share the same parent element.

In the following example, the subsequent-sibling combinator (`~`) helps to select and style paragraphs that are both siblings of an image and appear after any image.

```
img ~ p {
  color: red;
}
```

**Syntax**

```
/* The white space around the ~ combinator is optional but recommended. */
former_element ~ target_element { style properties }
```

## Footnote

[""Subsequent-sibling combinator - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Subsequent-sibling_combinator) Retrieved February 14, 2024."

Question,Answer
pseudo-class,pseudo-class
What is a *CSS pseudo-class*?,"A CSS ***pseudo-class*** is a keyword added to a selector that specifies a special state of the selected element(s). For example, the pseudo-class `:hover` can be used to select a button when a user's pointer hovers over the button and this selected button can then be styled.

```
/* Any button over which the user's pointer is hovering */
button:hover {
  color: blue;
}
```

A pseudo-class consists of a colon (`:`) followed by the pseudo-class name (e.g., `:hover`). A functional pseudo-class also contains a pair of parentheses to define the arguments (e.g., `:dir()`). The element that a pseudo-class is attached to is defined as an anchor element (e.g., button in case `button:hover)`.

Pseudo-classes let you apply a style to an element not only in relation to the content of the document tree, but also in relation to external factors like the history of the navigator (`:visited`, for example), the status of its content (like `:checked` on certain form elements), or the position of the mouse (like `:hover`, which lets you know if the mouse is over an element or not).

**Syntax**

```
selector:pseudo-class {
  property: value;
}
```

## Footnote

[""Pseudo-classes - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Pseudo-classes) Retrieved February 15, 2024."
Type of *pseudo-classes*?,"* **Element display state pseudo-classes** - These pseudo-classes enable the selection of elements based on their display states.
* **Input pseudo-classes** - These pseudo-classes relate to form elements, and enable selecting elements based on HTML attributes and the state that the field is in before and after interaction.
* **Linguistic pseudo-classes** - These pseudo-classes reflect the document language and enable the selection of elements based on language or script direction.
* **Location pseudo-classes** - These pseudo-classes relate to links, and to targeted elements within the current document.
* **Resource state pseudo-classes** - These pseudo-classes apply to media that is capable of being in a state where it would be described as playing, such as a video.
* **Time-dimensional pseudo-classes** - These pseudo-classes apply when viewing something which has timing, such as a WebVTT caption track.
* **Tree-structural pseudo-classes** - These pseudo-classes relate to the location of an element within the document tree.

## Footnote

[""Pseudo-classes - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Pseudo-classes) Retrieved February 15, 2024."
*element display state pseudo-classes*,"These pseudo-classes enable the selection of elements based on their display states.

* [**`:fullscreen`**](https://developer.mozilla.org/en-US/docs/Web/CSS/:fullscreen) - Matches an element that is currently in fullscreen mode.
* [**`:modal`**](https://developer.mozilla.org/en-US/docs/Web/CSS/:modal) - Matches an element that is in a state in which it excludes all interaction with elements outside it until the interaction has been dismissed.
* [**`:picture-in-picture`**](https://developer.mozilla.org/en-US/docs/Web/CSS/:picture-in-picture) - Matches an element that is currently in picture-in-picture mode.

**Note**: `:fullscreen` and `:picture-in-picture` are not widely supported by majors browser. Check their availability before using them.

## Footnote

[""Pseudo-classes - CSS: Cascading Style Sheets | MDN"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Pseudo-classes) Retrieved February 15, 2024."
*Input pseudo-classes*,"These pseudo-classes relate to form elements, and enable selecting elements based on HTML attributes and the state that the field is in before and after interaction.

* [`:autofill`](https://developer.mozilla.org/en-US/docs/Web/CSS/:autofill) - Matches when an `<input>` has been autofilled by the browser.
* [`:enabled`](https://developer.mozilla.org/en-US/docs/Web/CSS/:enabled) - Represents a user interface element that is in an enabled state.
* [`:disabled`](https://developer.mozilla.org/en-US/docs/Web/CSS/:disabled) - Represents a user interface element that is in a disabled state.
* [`:read-only`](https://developer.mozilla.org/en-US/docs/Web/CSS/:read-only) - Represents any element that cannot be changed by the user.
* [`:read-write`](https://developer.mozilla.org/en-US/docs/Web/CSS/:read-write) - Represents any element that is user-editable.
* [`:placeholder-shown`](https://developer.mozilla.org/en-US/docs/Web/CSS/:placeholder-shown) - Matches an input element that is displaying placeholder text. For example, it will match the placeholder attribute in the `<input>` and `<textarea>` elements.
* [`:default`](https://developer.mozilla.org/en-US/docs/Web/CSS/:default) - Matches one or more UI elements that are the default among a set of elements.
* [`:checked`](https://developer.mozilla.org/en-US/docs/Web/CSS/:checked) - Matches when elements such as checkboxes and radio buttons are toggled on.
* [`:indeterminate`](https://developer.mozilla.org/en-US/docs/Web/CSS/:indeterminate) - Matches UI elements when they are in an indeterminate state.
* [`:blank`](https://developer.mozilla.org/en-US/docs/Web/CSS/:blank) - Matches a user-input element which is empty, containing an empty string or other null input.
* [`:valid`](https://developer.mozilla.org/en-US/docs/Web/CSS/:valid) - Matches an element with valid contents. For example, an input element with the type 'email' that contains a validly formed email address or an empty value if the control is not required.
* [`:invalid`](https://developer.mozilla.org/en-US/docs/Web/CSS/:invalid) - Matches an element with invalid contents. For example, an input element with `type 'email'` with a name entered.
* [`:in-range`](https://developer.mozilla.org/en-US/docs/Web/CSS/:in-range) - Applies to elements with range limitations. For example, a slider control when the selected value is in the allowed range.
* [`:out-of-range`](https://developer.mozilla.org/en-US/docs/Web/CSS/:out-of-range) - Applies to elements with range limitations. For example, a slider control when the selected value is outside the allowed range.
* [`:required`](https://developer.mozilla.org/en-US/docs/Web/CSS/:required) - Matches when a form element is required.
* [`:optional`](https://developer.mozilla.org/en-US/docs/Web/CSS/:optional) - Matches when a form element is optional.
* [`:user-valid`](https://developer.mozilla.org/en-US/docs/Web/CSS/:user-valid) - Represents an element with correct input, but only when the user has interacted with it.
* [`:user-invalid`](https://developer.mozilla.org/en-US/docs/Web/CSS/:user-invalid) - Represents an element with incorrect input, but only when the user has interacted with it.

## Footnote

[""Input pseudo-classes"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Pseudo-classes#input_pseudo-classes) Retrieved February 26, 2024."
*Linguistic pseudo-classes*,"These pseudo-classes reflect the document language and enable the selection of elements based on language or script direction.

* [`:dir()`](https://developer.mozilla.org/en-US/docs/Web/CSS/:dir) - The directionality pseudo-class selects an element based on its directionality as determined by the document language.
* [`:lang()`](https://developer.mozilla.org/en-US/docs/Web/CSS/:lang) - Select an element based on its content language.

## Footnote

[""Linguistic pseudo-classes"" (MDN Web Docs).](https://developer.mozilla.org/en-US/docs/Web/CSS/Pseudo-classes#linguistic_pseudo-classes) Retrieved February 26, 2024."
